,Fuel Type Code,Station Name,City,State,Status Code,Latitude,Longitude,ID,Country
27567,ELEC,3050 Corlear Ave - Nagle Parking Inc. - Tesla Destination,Bronx,NY,E,"40,8799","-73,907762",150624,US
27640,ELEC,Brunos Bakery and Restaurant - Tesla Destination,Staten Island,NY,E,"40,588001","-74,090126",150697,US
29068,ELEC,Fordham University,Bronx,NY,E,"40,86095","-73,889379",153856,US
29077,ELEC,Dock72,Brooklyn,NY,E,"40,700302","-73,972272",153865,US
33499,ELEC,WCS NS1 SOUTHERN,Bronx,NY,E,"40,850625","-73,881132",162156,US
33719,ELEC,MONTEFIOREMOSES WAKEFIELD,Bronx,NY,E,"40,894881","-73,860525",162485,US
33723,ELEC,ATAHOUSING407 HAZEL TOWERS 1,Bronx,NY,E,"40,846821","-73,834633",162498,US
33724,ELEC,LAFAYETTE BOYNT LAF BOYNT 1,Bronx,NY,E,"40,821451","-73,877642",162499,US
34269,ELEC,165 E 77 ST Garage,Manhattan,NY,E,"40,773528","-73,959538",163507,US
34667,ELEC,Gateway Center at Bronx Terminal Market,Bronx,NY,E,"40,822142","-73,931128",164227,US
34956,ELEC,919 Third Avenue,Manhattan,NY,E,"40,759299","-73,968603",164749,US
35654,ELEC,CHHA2 Garages LLC,Manhattan,NY,E,"40,777924","-73,957245",166326,US
35658,ELEC,Little Man Parking,Bronx,NY,E,"40,822935","-73,890483",166332,US
35659,ELEC,Little Man Parking,Manhattan,NY,E,"40,729483","-73,988368",166333,US
35660,ELEC,Little Man Parking,Manhattan,NY,E,"40,736778","-73,979688",166334,US
35679,ELEC,Northwell,Staten Island,NY,E,"40,516856","-74,196692",166366,US
35681,ELEC,Northwell,Staten Island,NY,E,"40,584259","-74,086919",166368,US
35835,ELEC,Staten Island Mall,Staten Island,NY,E,"40,58333","-74,166262",166727,US
35836,ELEC,Staten Island Mall,Staten Island,NY,E,"40,582763","-74,167812",166728,US
35837,ELEC,Staten Island Mall,Staten Island,NY,E,"40,581751","-74,168466",166729,US
35838,ELEC,Staten Island Mall,Staten Island,NY,E,"40,581132","-74,167932",166730,US
36545,ELEC,National Grid - Staten Island,Staten Island,NY,E,"40,624733","-74,179551",167773,US
36743,ELEC,HAMPTON INN STATION 1,Staten Island,NY,E,"40,612696","-74,179012",168146,US
36936,ELEC,Courtyard by Marriott,Queens,NY,E,"40,74027","-73,790815",168422,US
37028,ELEC,iPark 34 N 7th Street - Tesla Destination,Brooklyn,NY,E,"40,720475","-73,96265",168539,US
37045,ELEC,577 Baltic Street - Adam America Real Estate - Tesla Destination,Brooklyn,NY,E,"40,681251","-73,981971",168557,US
37046,ELEC,610 Warren Street - Tesla Destination,Brooklyn,NY,E,"40,681274","-73,981216",168558,US
37424,ELEC,Park Kwik - 110 Livingston - Tesla Destination,Brooklyn,NY,E,"40,690809","-73,990016",169008,US
37425,ELEC,Park Kwik - 211 Atlantic - Tesla Destination,Brooklyn,NY,E,"40,689671","-73,991786",169009,US
37426,ELEC,Park Kwik-300 Ashland - Tesla Destination,Brooklyn,NY,E,"40,686628","-73,978374",169010,US
37609,ELEC,"Trump Golf Links, Ferry Point - Tesla Destination",Bronx,NY,E,"40,811072","-73,835502",169223,US
40716,ELEC,WCS NS1 ASIA,Bronx,NY,E,"40,846612","-73,876323",173506,US
41632,ELEC,PANYNJ JFK Y GARAGE 1,Queens,NY,E,"40,645659","-73,779481",174641,US
41633,ELEC,PANYNJ JFK Y GARAGE 5,Queens,NY,E,"40,645916","-73,779152",174642,US
41634,ELEC,PANYNJ JFK Y GARAGE 3,Queens,NY,E,"40,645758","-73,779314",174643,US
47250,ELEC,HAMPTON INN STATION 4,Staten Island,NY,E,"40,612678","-74,178885",181661,US
47251,ELEC,HAMPTON INN STATION 2,Staten Island,NY,E,"40,612688","-74,178948",181662,US
47252,ELEC,HAMPTON INN STATION 3,Staten Island,NY,E,"40,612671","-74,17882",181663,US
47253,ELEC,HAMPTON INN STATION 5,Staten Island,NY,E,"40,612706","-74,179076",181664,US
49440,ELEC,FLUSHING,Queens,NY,E,"40,756604","-73,828138",184437,US
50091,ELEC,Canarsie - National Grid,Brooklyn,NY,E,"40,64554","-73,918344",185493,US
50182,ELEC,1510 Lex Garage,Manhattan,NY,E,"40,786732","-73,950411",185709,US
51478,ELEC,Red Ball Garage,Manhattan,NY,E,"40,74473006","-73,98049771",187816,US
51861,ELEC,Manhattan Parking Group,Manhattan,NY,E,"40,768721","-73,983487",189112,US
53372,ELEC,5935 Broadway,Bronx,NY,E,"40,888461","-73,899119",191505,US
53373,ELEC,3474 Putnam Place,Bronx,NY,E,"40,879413","-73,875485",191506,US
54023,ELEC,NYC FLEET DPRWFMARINA#3,Queens,NY,E,"40,760424","-73,856316",193126,US
54558,ELEC,NYC FLEET DPR_VCP-ARC1,Bronx,NY,E,"40,88734","-73,89526",193837,US
54559,ELEC,NYC FLEET DPR_VCP-ARC2,Bronx,NY,E,"40,892423","-73,882373",193838,US
54674,ELEC,NYC Parking Kent,Brooklyn,NY,E,"40,709168","-73,968491",193979,US
55045,ELEC,383 Court St,Brooklyn,NY,E,"40,680484","-73,996719",194646,US
55046,ELEC,99 Prospect Park W,Brooklyn,NY,E,"40,66696","-73,975032",194647,US
55083,ELEC,Revel Brooklyn Superhub,Brooklyn,NY,E,"40,69933379421704","-73,94966479629517",194700,US
55181,ELEC,"Walgreens - Brooklyn, NY #15097",Brooklyn,NY,E,"40,6567801","-73,9777597",194845,US
55233,ELEC,EVolve NY JFK Airport,Queens,NY,E,"40,656083","-73,808091",194919,US
55830,ELEC,33 Norman Ave,Brooklyn,NY,E,"40,724591","-73,954512",195667,US
55831,ELEC,1235 Linden Blvd,Brooklyn,NY,E,"40,654381","-73,913436",195668,US
56352,ELEC,1065 Elton St,Brooklyn,NY,E,"40,657441","-73,874619",196329,US
56580,Fuel,NPS NERO - STIS - Fort Wadsworth - Mechanic Shop - Fuel Station 1,Staten Island,NY,E,"40,60391","-74,058548",196609,US
56589,Fuel,NPS NERO - STIS - Fort Wadsworth - Mechanic Shop - Fuel Station 1,Staten Island,NY,E,"40,60391","-74,058548",196619,US
56869,ELEC,626 Sheepshead Bay Rd - Parking,Brooklyn,NY,E,"40,57863","-73,975218",197548,US
57096,ELEC,597 Clarkson Ave,Brooklyn,NY,E,"40,656102","-73,940436",197855,US
57673,ELEC,Walgreens,Brooklyn,NY,E,"40,656459","-73,977527",198587,US
58114,ELEC,167-149 Meeker Ave,Brooklyn,NY,E,"40,714318","-73,953186",199108,US
58423,ELEC,831 3rd Ave,Brooklyn,NY,E,"40,6567661818936","-74,0048016913848",199508,US
58702,ELEC,2 Bedford Park Blvd W,Bronx,NY,E,"40,875421459966","-73,8939407447884",200599,US
59449,ELEC,3500 Dekalb Ave,Bronx,NY,E,"40,882337","-73,880265",201636,US
59771,ELEC,7 Marcus Garvey Blvd,Brooklyn,NY,E,"40,700039","-73,941261",202055,US
59859,ELEC,145 Brooklyn Ave,Brooklyn,NY,E,"40,674612","-73,944569",202163,US
59860,ELEC,484 43rd St,Brooklyn,NY,E,"40,649116","-74,006479",202164,US
59861,ELEC,352 8th St,Brooklyn,NY,E,"40,668517","-73,983283",202165,US
60317,ELEC,395 Lenox Rd,Brooklyn,NY,E,"40,654476","-73,946741",202766,US
60440,ELEC,419 Stuyvesant Ave,Brooklyn,NY,E,"40,679727","-73,931347",202930,US
60441,ELEC,134 N 4th St,Brooklyn,NY,E,"40,716441","-73,960043",202931,US
61428,ELEC,33-10 Queens Blvd,Queens,NY,E,"40,7443625","-73,93112013",204691,US
62205,ELEC,7-Eleven,Bronx,NY,E,"40,8690276772083","-73,8315760899824",205822,US
